komentar,rating,date,nama_bank,channel,sentimen,text_clean,text_preprocessed
"Bagus sekali ini, sangat membantu ketika saya di dalam negeri maupun di luar negeri, terima kasih jenius",5,2019-09-02 3:31:34,Jenius,Playstore,positif,bagus sekali ini sangat membantu ketika saya di dalam negeri maupun di luar negeri terima kasih jenius,"['bagus', 'bantu', 'negeri', 'negeri', 'terima', 'kasih']"
Saya agak bingung ketika akan transfer ke multipayment tapi opsinya tidak tersedia,3,2021-11-15 2:06:18,Livin,Playstore,netral,saya agak bingung ketika akan transfer ke multipayment tapi opsinya tidak tersedia,"['bingung', 'transfer', 'multipayment', 'opsi', 'sedia']"
Tolong dong buat para cs kok Veritifikasinya lama banget. Coba langsung Veritifikasi auto bagus ni apk hedeehhh,1,2021-11-21 18:43:27,TMRW,Playstore,negatif,tolong dong buat para cs kok veritifikasinya lama banget coba langsung veritifikasi auto bagus ni apk hedeehhh,"['tolong', 'cs', 'veritifikasinya', 'coba', 'langsung', 'veritifikasi', 'auto', 'bagus', 'ni', 'hedeehhh']"
Bagus fasilitasnya,4,2021-09-08 3:13:03,Jenius,Playstore,positif,bagus fasilitasnya,"['bagus', 'fasilitas']"
Bagus sekali dan mudah,5,2018-10-26 7:01:50,Jenius,Playstore,positif,bagus sekali dan mudah,"['bagus', 'mudah']"
Iniii gimnaaa sihhhh sruhh update diupdate tulisany bukan update tp sruh buka apkny pas dbuka sruh update gtgt trusss prahh nii seabank gak bget untuk rekomend,1,2021-09-20 5:58:45,Seabank,Playstore,negatif,iniii gimnaaa sihhhh sruhh update diupdate tulisany bukan update tp sruh buka apkny pas dbuka sruh update gtgt trusss prahh nii seabank gak bget untuk rekomend,"['iniii', 'gimnaaa', 'sihhhh', 'sruhh', 'update', 'diupdate', 'tulisany', 'update', 'sruh', 'buka', 'apkny', 'dbuka', 'sruh', 'update', 'gtgt', 'trusss', 'prahh', 'nii', 'gak', 'bget', 'rekomend']"
Tolong perbaiki lg sistemnya terjadi kesalahan trus udh masukin pin berkali kali gabisa bisa gimana kalo saya lagi urgent butuh uang ehh apknya malah eror seperti ini. Gabisa direkomendasikan ke orang orang jg kalo apknya masih sering eror bgini,1,2020-05-07 0:29:22,Jenius,Playstore,negatif,tolong perbaiki lg sistemnya terjadi kesalahan trus udh masukin pin berkali kali gabisa bisa gimana kalo saya lagi urgent butuh uang ehh apknya malah eror seperti ini gabisa direkomendasikan ke orang orang jg kalo apknya masih sering eror bgini,"['tolong', 'baik', 'lg', 'sistem', 'salah', 'trus', 'masukin', 'pin', 'kali', 'kali', 'gabisa', 'gimana', 'urgent', 'butuh', 'uang', 'ehh', 'apknya', 'eror', 'gabisa', 'rekomendasi', 'orang', 'orang', 'jg', 'apknya', 'eror', 'bgini']"
versi lama lebih baik,3,2021-12-29 14:06:51,Livin,Playstore,netral,versi lama lebih baik,['versi']
ini kenpa akun tidak bisa diakses ya? mau apa apa jadi susah,1,2021-04-09 14:45:41,TMRW,Playstore,negatif,ini kenpa akun tidak bisa diakses ya mau apa apa jadi susah,"['kenpa', 'akun', 'akses', 'susah']"
"Aplikasinya kurang bagus, asli.. bikin gedeg !!!! TOLONG DI PERBAIKI LAGI !!Enakan pake logo biru !!!!!!!",1,2022-01-11 3:26:49,Livin,Playstore,negatif,aplikasinya kurang bagus asli bikin gedeg  tolong di perbaiki lagi enakan pake logo biru,"['aplikasi', 'bagus', 'asli', 'gedeg', 'tolong', 'baik', 'enak', 'pake', 'logo', 'biru']"
Wow bank terbaik,5,2021-10-20 5:39:17,Seabank,Playstore,positif,wow bank terbaik,"['wow', 'baik']"
"Tolong bantu saya pak admin, Saya lupa Password dan no hp yg d pake d Akun Neo Bank saya, sudah tidak aktif, gimana caranya agar saya bisa login kembali ke Akun Bank Neo saya, tolong d bantu ,,, klw bisa d bantu saya kasih bintang 5 lagi,",3,2022-02-24 10:33:49,Neocommerce,Playstore,netral,tolong bantu saya pak admin saya lupa password dan no hp yg d pake d akun neo bank saya sudah tidak aktif gimana caranya agar saya bisa login kembali ke akun bank neo saya tolong d bantu  klw bisa d bantu saya kasih bintang  lagi,"['tolong', 'bantu', 'admin', 'lupa', 'password', 'no', 'hp', 'd', 'pake', 'd', 'akun', 'aktif', 'gimana', 'login', 'akun', 'tolong', 'd', 'bantu', 'klw', 'd', 'bantu', 'kasih', 'bintang']"
"Hallo!!! Gunakan kode : NS32H2
Beneran deh bakalan dapat banyak bonus dari neo bank😍😍😍
Selamat mencoba guys!!!🎉",5,2021-10-13 11:52:34,Neocommerce,Appstore,positif,hallo gunakan kode  nsh beneran deh bakalan dapat banyak bonus dari neo bank😍😍😍 selamat mencoba guys🎉,"['hallo', 'kode', 'nsh', 'beneran', 'deh', 'bonus', 'bank', 'selamat', 'coba', 'guys']"
Koneksi bermasalah mulu.... Saya kecewa app d ragukan,1,2021-06-18 3:24:58,Neocommerce,Playstore,negatif,koneksi bermasalah mulu saya kecewa app d ragukan,"['koneksi', 'masalah', 'mulu', 'kecewa', 'd', 'ragu']"
Keren sih aplikasi nya. Jarang ada mbankimg yg kasih misi ke nasabah dan dapet hadiah cuma dari jalanin misi. Terbaik.,5,2021-06-15 9:14:25,TMRW,Playstore,positif,keren sih aplikasi nya jarang ada mbankimg yg kasih misi ke nasabah dan dapet hadiah cuma dari jalanin misi terbaik,"['keren', 'jarang', 'mbankimg', 'kasih', 'misi', 'nasabah', 'dapet', 'hadiah', 'jalanin', 'misi', 'baik']"
good,5,2019-04-26 15:59:38,Jenius,Playstore,positif,good,['good']
👍,2,2021-10-25 10:43:45,Neocommerce,Playstore,netral,👍,['']
"Mantap banget, Jenius bener bener jenius lah, kirain cuma bisa payment doang ternyata, fiturnya banyak kyk nabung,M-Bangking, Netflix dll mantapp Jenius!",5,2021-10-26 1:51:45,Jenius,Playstore,positif,mantap banget jenius bener bener jenius lah kirain cuma bisa payment doang ternyata fiturnya banyak kyk nabungmbangking netflix dll mantapp jenius,"['mantap', 'bener', 'bener', 'kirain', 'payment', 'doang', 'fiturnya', 'kyk', 'nabungmbangking', 'netflix', 'dll', 'mantapp']"
Sangat membantu,5,2021-07-01 4:46:52,Jenius,Playstore,positif,sangat membantu,['bantu']
Puas,5,2021-09-27 14:38:20,Neocommerce,Playstore,positif,puas,['puas']
"Kecewa , pendaftaran dipersulit dengan alasan gak jelas",1,2021-10-22 15:52:15,Jago,Playstore,negatif,kecewa  pendaftaran dipersulit dengan alasan gak jelas,"['kecewa', 'daftar', 'sulit', 'alas', 'gak']"
Sip sip,4,2017-03-18 10:17:16,Jenius,Playstore,positif,sip sip,"['sip', 'sip']"
"Aplikasi nya sangat amat membantu!! Saya suka, banyak fitur yang bisa di akses disini. Menabung, membayar netflix, mentransfer dll. Recomended,",5,2021-07-12 1:51:00,Jenius,Playstore,positif,aplikasi nya sangat amat membantu saya suka banyak fitur yang bisa di akses disini menabung membayar netflix mentransfer dll recomended,"['bantu', 'suka', 'fitur', 'akses', 'tabung', 'bayar', 'netflix', 'transfer', 'dll', 'recomended']"
Keren,5,2022-01-31 17:57:58,Neocommerce,Playstore,positif,keren,['keren']
"langsung bintang lima buat blubca ku, tingkatkan terus kualitas dan keamananmu ya blu...mkasih buangeeeeet blu",5,2022-01-30 0:19:42,Blu,Playstore,positif,langsung bintang lima buat blubca ku tingkatkan terus kualitas dan keamananmu ya blumkasih buangeeeeet blu,"['langsung', 'bintang', 'blubca', 'ku', 'tingkat', 'kualitas', 'aman', 'blumkasih', 'buangeeeeet']"
"Min tolong donk saya seorang ibu rumah tangga, lalu saya mendapatkan undian iPhone tp saya tidak mempunyai npwp jd bagaimana?",4,2016-12-30 2:15:30,Jenius,Playstore,netral,min tolong donk saya seorang ibu rumah tangga lalu saya mendapatkan undian iphone tp saya tidak mempunyai npwp jd bagaimana,"['min', 'tolong', 'donk', 'rumah', 'tangga', 'undi', 'iphone', 'npwp', 'jd']"
Nice Bagus sekali aplikasinya,4,2021-06-18 8:51:29,Jenius,Appstore,positif,nice bagus sekali aplikasinya,"['nice', 'bagus', 'aplikasi']"
Bagus pokonya..nya,5,2021-12-11 3:27:37,Seabank,Playstore,positif,bagus pokonyanya,"['bagus', 'pokonyanya']"
Ini gimana sih udah masukin pasword bener juga malah aktifitas tidak wajar udah di reset pun sama aja gimana ini,1,2021-07-25 12:21:40,LineBank,Playstore,negatif,ini gimana sih udah masukin pasword bener juga malah aktifitas tidak wajar udah di reset pun sama aja gimana ini,"['gimana', 'udah', 'masukin', 'pasword', 'bener', 'aktifitas', 'wajar', 'udah', 'reset', 'gimana']"
Sempurna....,5,2021-09-24 3:22:50,Jenius,Playstore,positif,sempurna,['sempurna']
Mantap,5,2022-02-23 3:26:06,Jenius,Playstore,positif,mantap,['mantap']
Setiap aku mau vertifikasi gagal ???why ???,2,2021-11-28 7:00:26,Neocommerce,Playstore,negatif,setiap aku mau vertifikasi gagal why,"['vertifikasi', 'gagal', 'why']"
"Aplikasinya bagus dr pada aplikasi tetangga sebelah. Yang jadi permasalahan mau masuk harus scan wajah, its ok tp yg bener dong scan nya saya gagal terus padahal muka saya g berubah... Haduhhhh",5,2021-07-11 8:17:55,Neocommerce,Playstore,negatif,aplikasinya bagus dr pada aplikasi tetangga sebelah yang jadi permasalahan mau masuk harus scan wajah its ok tp yg bener dong scan nya saya gagal terus padahal muka saya g berubah haduhhhh,"['aplikasi', 'bagus', 'tetangga', 'belah', 'masalah', 'masuk', 'scan', 'wajah', 'its', 'ok', 'bener', 'scan', 'gagal', 'muka', 'g', 'ubah', 'haduhhhh']"
sangat baik,5,2021-07-15 11:34:52,Digibank,Playstore,positif,sangat baik,[]
pengajuan saya belum di verifikasi ya,3,2021-10-15 15:02:16,Neocommerce,Playstore,netral,pengajuan saya belum di verifikasi ya,"['aju', 'verifikasi']"
Cukup baik,5,2021-12-30 1:35:51,Livin,Playstore,positif,cukup baik,[]
Kenapa susah masuk ya udah berapa kali saya ikuti cara tetap jga salah,1,2021-08-07 21:49:57,Jago,Playstore,negatif,kenapa susah masuk ya udah berapa kali saya ikuti cara tetap jga salah,"['susah', 'masuk', 'udah', 'kali', 'ikut', 'jga', 'salah']"
Ok,5,2021-07-30 7:03:58,Neocommerce,Playstore,positif,ok,['ok']
Gapunya rekening awokawok :),1,2021-11-22 10:56:03,Neocommerce,Playstore,netral,gapunya rekening awokawok,"['gapunya', 'rekening', 'awokawok']"
Aplikasi nya tidak bisa di buka,1,2022-01-01 13:56:02,Neocommerce,Playstore,negatif,aplikasi nya tidak bisa di buka,['buka']
saya coba dulu yak,5,2022-01-13 1:12:19,Livin,Playstore,netral,saya coba dulu yak,"['coba', 'yak']"
Mantap si asli gak usah aktivasi lewat cabang,5,2021-10-10 12:50:52,Livin,Playstore,positif,mantap si asli gak usah aktivasi lewat cabang,"['mantap', 'asli', 'gak', 'aktivasi', 'cabang']"
"New livin mandiri, segera login dan hapus livin yg lama",5,2021-10-12 10:21:38,Livin,Playstore,positif,new livin mandiri segera login dan hapus livin yg lama,"['new', 'login', 'hapus']"
"Aplikasi ini sangat memudahkan saya ketika menggunakan mobile banking karena dimulai dari aktivasi yg gampang serta ketika saya ingin menabung mbanking tinggal video call saja, akhirnya saya bisa menabung di bank lewat online tanpa ada rasa khawatir karena kalo saya mau top up tinggal pake jenius, mau bayar netflix dan spotify juga pake jenius, tidak hanya itu debit card di sini juga bisa dihubungkan dengan berbagai e-wallet sehingga semuanya mulai dari opening terasa safe bagi saya.",5,2021-07-08 7:31:07,Jenius,Playstore,positif,aplikasi ini sangat memudahkan saya ketika menggunakan mobile banking karena dimulai dari aktivasi yg gampang serta ketika saya ingin menabung mbanking tinggal video call saja akhirnya saya bisa menabung di bank lewat online tanpa ada rasa khawatir karena kalo saya mau top up tinggal pake jenius mau bayar netflix dan spotify juga pake jenius tidak hanya itu debit card di sini juga bisa dihubungkan dengan berbagai ewallet sehingga semuanya mulai dari opening terasa safe bagi saya,"['mudah', 'mobile', 'banking', 'aktivasi', 'gampang', 'tabung', 'mbanking', 'tinggal', 'video', 'call', 'tabung', 'online', 'khawatir', 'top', 'up', 'tinggal', 'pake', 'bayar', 'netflix', 'spotify', 'pake', 'debit', 'card', 'hubung', 'ewallet', 'opening', 'safe']"
"Hanya Kurang di Bayar QRIS dengan SCAN, dan terima dana/uang dengan barcode QRIS... Mohon ditambahkan fitur fitur tersebut...",5,2021-12-11 8:48:27,Neocommerce,Playstore,netral,hanya kurang di bayar qris dengan scan dan terima danauang dengan barcode qris mohon ditambahkan fitur fitur tersebut,"['bayar', 'qris', 'scan', 'terima', 'danauang', 'barcode', 'qris', 'mohon', 'fitur', 'fitur']"
Good,4,2018-06-14 10:48:09,Digibank,Playstore,positif,good,['good']
"payah, platform gajelas, aktivasi ga di acc mulu, yg jawab cuma bot otomatis doang. uninstall, pake layanan lain aja",1,2021-11-11 15:10:27,Jago,Playstore,negatif,payah platform gajelas aktivasi ga di acc mulu yg jawab cuma bot otomatis doang uninstall pake layanan lain aja,"['payah', 'platform', 'gajelas', 'aktivasi', 'ga', 'acc', 'mulu', 'bot', 'otomatis', 'doang', 'uninstall', 'pake', 'layan']"
"Nih buat yg kesulitan dalam transfer atau login pake aplikasi ini gua kasih tau cara nya, selama ini w pake aplikasi ini lancar"" aja tanpa kendala dalam login atau transfer dan ngundang temen bahkan lumayan hasil nya dari ngundang temen, dan yang w undang dapet juga 20ribu tanpa saling merugikan yg kita undang",5,2021-07-25 4:24:16,Neocommerce,Playstore,positif,nih buat yg kesulitan dalam transfer atau login pake aplikasi ini gua kasih tau cara nya selama ini w pake aplikasi ini lancar aja tanpa kendala dalam login atau transfer dan ngundang temen bahkan lumayan hasil nya dari ngundang temen dan yang w undang dapet juga ribu tanpa saling merugikan yg kita undang,"['sulit', 'transfer', 'login', 'pake', 'kasih', 'tau', 'w', 'pake', 'lancar', 'kendala', 'login', 'transfer', 'ngundang', 'temen', 'lumayan', 'hasil', 'ngundang', 'temen', 'w', 'undang', 'dapet', 'ribu', 'rugi', 'undang']"
Sy sangat senang pakai jenius...sebab sy punya jenius udah lama walaupun blm ada saldo tp akun jenius ternyata masih aktif...trima kasih jenius...,5,2020-01-21 13:36:41,Jenius,Playstore,positif,sy sangat senang pakai jeniussebab sy punya jenius udah lama walaupun blm ada saldo tp akun jenius ternyata masih aktiftrima kasih jenius,"['senang', 'pakai', 'jeniussebab', 'udah', 'blm', 'saldo', 'akun', 'aktiftrima', 'kasih']"
Apk taiiiiii ... Jadi ga bisa login,1,2021-06-30 6:43:06,Neocommerce,Playstore,negatif,apk taiiiiii  jadi ga bisa login,"['taiiiiii', 'ga', 'login']"
Ⓢ̳Ⓑ̳Ⓒ̳Ⓝ̳⑦̳②̳___DIGITAL bank ONLINE yang TERBAIK<<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,2021-12-02 3:59:50,Neocommerce,Playstore,positif,ⓢ̳ⓑ̳ⓒ̳ⓝ̳⑦̳②̳digital bank online yang terbaik,"['digital', 'online', 'baik']"
Mantap,5,2021-05-26 2:11:11,TMRW,Playstore,positif,mantap,['mantap']
Kenaoa dana rewards saya gak masuk padahal di history udah ada tetapai saldo tetap aja nol :(( mohon di perbaiki,1,2021-06-17 19:28:51,Neocommerce,Playstore,negatif,kenaoa dana rewards saya gak masuk padahal di history udah ada tetapai saldo tetap aja nol  mohon di perbaiki,"['kenaoa', 'dana', 'rewards', 'gak', 'masuk', 'history', 'udah', 'tetapai', 'saldo', 'nol', 'mohon', 'baik']"
"Proses nya cepet gak nyampe sehari, CS nya juga fast respon,membantu banget.fitur yg udah di coba transfer ke bank lain, top up e-money, bayar internet semua gratis, gak ada biaya admin.tinggal nunggu kartu nya doang, semoga cepet dateng. SUKSES SELALU TMRW :)",5,2021-03-20 11:12:50,TMRW,Playstore,positif,proses nya cepet gak nyampe sehari cs nya juga fast responmembantu bangetfitur yg udah di coba transfer ke bank lain top up emoney bayar internet semua gratis gak ada biaya admintinggal nunggu kartu nya doang semoga cepet dateng sukses selalu tmrw,"['proses', 'cepet', 'gak', 'nyampe', 'hari', 'cs', 'fast', 'responmembantu', 'bangetfitur', 'udah', 'coba', 'transfer', 'top', 'up', 'emoney', 'bayar', 'internet', 'gratis', 'gak', 'biaya', 'admintinggal', 'nunggu', 'kartu', 'doang', 'moga', 'cepet', 'dateng', 'sukses']"
Recomended,5,2021-07-06 3:42:45,Neocommerce,Playstore,positif,recomended,['recomended']
XUD922 agar cepat diverifikasi teman,5,2021-07-19 11:46:15,Neocommerce,Playstore,netral,xud agar cepat diverifikasi teman,"['xud', 'cepat', 'verifikasi', 'teman']"
ko skrg susah transper. sllu ada tulisan .apa sedang perbaikan apa gimna.tolong jawab???,2,2021-07-03 19:07:10,Neocommerce,Playstore,negatif,ko skrg susah transper sllu ada tulisan apa sedang perbaikan apa gimnatolong jawab,"['ko', 'susah', 'transper', 'tulis', 'baik', 'gimnatolong']"
🙂🙂👍👍👍,5,2022-02-16 18:08:47,Seabank,Playstore,netral,🙂🙂👍👍👍,['']
Good,5,2021-12-01 8:56:02,Neocommerce,Playstore,positif,good,['good']
TQ,5,2022-01-05 3:30:55,Livin,Playstore,positif,tq,['tq']
Coba dulu,5,2020-08-14 18:04:45,Jenius,Playstore,netral,coba dulu,['coba']
Sangat membantu dalam menyimpan saldo,5,2021-07-05 14:30:34,Neocommerce,Playstore,positif,sangat membantu dalam menyimpan saldo,"['bantu', 'simpan', 'saldo']"
Baik,5,2021-02-06 12:59:55,Jenius,Playstore,positif,baik,[]
Kebapa sekarang saldo pengguna baru 20000 rb gak msuk,3,2021-08-08 8:08:00,Neocommerce,Playstore,negatif,kebapa sekarang saldo pengguna baru  rb gak msuk,"['bapa', 'saldo', 'guna', 'rb', 'gak', 'msuk']"
Saya sudah top up 500rb ee malah akun saya di hack orang dan saldo saya hilang saya bingung harus minta tolong sama siapa,1,2021-12-19 14:53:07,Jago,Playstore,negatif,saya sudah top up rb ee malah akun saya di hack orang dan saldo saya hilang saya bingung harus minta tolong sama siapa,"['top', 'up', 'rb', 'ee', 'akun', 'hack', 'orang', 'saldo', 'hilang', 'bingung', 'tolong']"
👍👍👍,5,2021-12-29 11:11:12,Livin,Playstore,netral,👍👍👍,['']
Berlangganan Netflix sekarang ga pake ribet tinggal transfer pake jenius aja gausah repot,5,2020-09-14 6:05:02,Jenius,Playstore,positif,berlangganan netflix sekarang ga pake ribet tinggal transfer pake jenius aja gausah repot,"['langgan', 'netflix', 'ga', 'pake', 'ribet', 'tinggal', 'transfer', 'pake', 'gausah', 'repot']"
maaf ka klo mau komplen ke no mana ya,5,2022-02-20 6:39:16,Neocommerce,Playstore,negatif,maaf ka klo mau komplen ke no mana ya,"['maaf', 'ka', 'komplen', 'no']"
Ini palsu ya palsu,1,2021-05-31 8:54:27,Neocommerce,Playstore,negatif,ini palsu ya palsu,"['palsu', 'palsu']"
Mantap ini aplikasi......!!! Selain bisa nabung juga bisa mendapatkan uang......,5,2021-07-05 16:34:53,Neocommerce,Playstore,positif,mantap ini aplikasi selain bisa nabung juga bisa mendapatkan uang,"['mantap', 'nabung', 'uang']"
"Kecewa dgn pelayana DBS dgn digibank nya Saya nasabah kartu kredit ANZ dan KTA nya,.sampai sekarang saya blm bisa Login ke digibank saya ber ulang ulang tlp ke CS bagian digibank dan di info kan blm ada balasan dri tim IT nya,.bank apa ini era jaman apa ini solusi nya lama bgt apa emang tdk di tanggapi,.mohon info nya",1,2018-02-20 3:36:45,Digibank,Appstore,negatif,kecewa dgn pelayana dbs dgn digibank nya saya nasabah kartu kredit anz dan kta nyasampai sekarang saya blm bisa login ke digibank saya ber ulang ulang tlp ke cs bagian digibank dan di info kan blm ada balasan dri tim it nyabank apa ini era jaman apa ini solusi nya lama bgt apa emang tdk di tanggapimohon info nya,"['kecewa', 'pelayana', 'digibank', 'nasabah', 'kartu', 'kredit', 'anz', 'nyasampai', 'blm', 'login', 'digibank', 'ber', 'ulang', 'ulang', 'tlp', 'cs', 'digibank', 'info', 'blm', 'balas', 'dri', 'tim', 'it', 'nyabank', 'era', 'jaman', 'solusi', 'emang', 'tdk', 'tanggapimohon', 'info']"
Masukan kode referall HMDTN2 biar kebagian cuannya juga Selama ini neo bank bikin mudah urusan finansial saya,5,2022-02-09 5:54:06,Neocommerce,Playstore,positif,masukan kode referall hmdtn biar kebagian cuannya juga selama ini neo bank bikin mudah urusan finansial saya,"['masuk', 'kode', 'referall', 'hmdtn', 'biar', 'bagi', 'cuannya', 'mudah', 'urus', 'finansial']"
"Aplikasi layanan perbankan yg sagt membantu bnget,simple untuk cara pemakaiannya dan aktivasi rekening dpt dilakukan dimana saja",5,2021-08-23 3:19:22,Jenius,Playstore,positif,aplikasi layanan perbankan yg sagt membantu bngetsimple untuk cara pemakaiannya dan aktivasi rekening dpt dilakukan dimana saja,"['layan', 'perban', 'sagt', 'bantu', 'bngetsimple', 'pakai', 'aktivasi', 'rekening', 'dpt', 'mana']"
Aplikasi bank digital yang sangat keren. Semoga bisa bermanfaat,5,2021-09-06 3:32:35,Jenius,Playstore,positif,aplikasi bank digital yang sangat keren semoga bisa bermanfaat,"['digital', 'keren', 'moga', 'manfaat']"
Ko menu beli pulsa sekarang ga ada di neo???,5,2021-09-14 17:34:02,Neocommerce,Playstore,netral,ko menu beli pulsa sekarang ga ada di neo,"['ko', 'menu', 'beli', 'pulsa', 'ga']"
mantap,5,2019-07-11 5:50:41,Digibank,Playstore,positif,mantap,['mantap']
great 👍 aplikasi sangat membantu sangat keren untuk kategori digitalbank mempermudah segala hal makin mudah dengan TMRW,5,2021-11-22 15:33:05,TMRW,Appstore,positif,great 👍 aplikasi sangat membantu sangat keren untuk kategori digitalbank mempermudah segala hal makin mudah dengan tmrw,"['great', '', 'bantu', 'keren', 'kategori', 'digitalbank', 'mudah', 'mudah']"
Langsung cair,5,2019-10-31 6:06:53,Digibank,Playstore,positif,langsung cair,"['langsung', 'cair']"
No komen,4,2021-12-29 13:49:01,Livin,Playstore,netral,no komen,"['no', 'komen']"
Kenapa d tanyakan PIN kartu debet?????? Verifikasi wajah gagal terus.... Verifikasi SMS juga sering gagal Pulsa terpotong percuma,1,2021-12-20 9:20:44,Livin,Playstore,negatif,kenapa d tanyakan pin kartu debet verifikasi wajah gagal terus verifikasi sms juga sering gagal pulsa terpotong percuma,"['d', 'pin', 'kartu', 'debet', 'verifikasi', 'wajah', 'gagal', 'verifikasi', 'sms', 'gagal', 'pulsa', 'potong']"
Membantu dan bermamfaat,5,2021-12-30 6:58:11,Neocommerce,Playstore,positif,membantu dan bermamfaat,"['bantu', 'bermamfaat']"
Terbaik,5,2021-10-23 12:41:09,Neocommerce,Playstore,positif,terbaik,['baik']
Kok saya tidak bisa narik yah? Ada tulisan waspada tindakan penipuan Tolong bantuannya...,3,2021-07-06 12:37:25,Neocommerce,Playstore,negatif,kok saya tidak bisa narik yah ada tulisan waspada tindakan penipuan tolong bantuannya,"['narik', 'yah', 'tulis', 'waspada', 'tindak', 'tipu', 'tolong', 'bantu']"
"Kerennnnn bangett apl nyaa, sukaaa pokoknya dabestt !!!!",5,2021-07-10 8:35:34,Jenius,Playstore,positif,kerennnnn bangett apl nyaa sukaaa pokoknya dabestt,"['kerennnnn', 'bangett', 'apl', 'nyaa', 'sukaaa', 'pokok', 'dabestt']"
"Tolong di perbaiki lgi masa verifikasi sms,nya gagal terus kirain hp,nya udh ganti beberapa kali ga tau,nya emang sms,nya ga muncul.",2,2021-11-27 8:01:04,Livin,Playstore,negatif,tolong di perbaiki lgi masa verifikasi smsnya gagal terus kirain hpnya udh ganti beberapa kali ga taunya emang smsnya ga muncul,"['tolong', 'baik', 'lgi', 'verifikasi', 'smsnya', 'gagal', 'kirain', 'hpnya', 'ganti', 'kali', 'ga', 'tau', 'emang', 'smsnya', 'ga', 'muncul']"
"Mau coba hubungkan rekening gagal terus.. sdh minta kode otp,malah bilangnya sdh terhubung. Ini bgmn lihatnya? Utk bank digital kekinian harusnya ada layanan WA call atau call gratis lainny. Masa jaman now msh pakai pulsa berbayar.. abis duit cm telponan ini mah",1,2021-12-06 11:43:07,Neocommerce,Playstore,negatif,mau coba hubungkan rekening gagal terus sdh minta kode otpmalah bilangnya sdh terhubung ini bgmn lihatnya utk bank digital kekinian harusnya ada layanan wa call atau call gratis lainny masa jaman now msh pakai pulsa berbayar abis duit cm telponan ini mah,"['coba', 'hubung', 'rekening', 'gagal', 'sdh', 'kode', 'otpmalah', 'bilang', 'sdh', 'hubung', 'bgmn', 'lihat', 'digital', 'kini', 'layan', 'wa', 'call', 'call', 'gratis', 'lainny', 'jaman', 'now', 'msh', 'pakai', 'pulsa', 'bayar', 'abis', 'duit', 'cm', 'telpon', 'mah']"
Mantap,5,2021-11-03 5:20:27,Jago,Playstore,positif,mantap,['mantap']
"Kalau sy tdk mau ganti ke aplikasi kuning ga apa2 kan. Pernah coba gagal, terus liat komentarnya pd ngeluh ma aplikasi baru...nanti aja updatenya kalo sdh ga ada yg Ngeluuh...",1,2021-12-17 0:33:09,Livin,Playstore,negatif,kalau sy tdk mau ganti ke aplikasi kuning ga apa kan pernah coba gagal terus liat komentarnya pd ngeluh ma aplikasi barunanti aja updatenya kalo sdh ga ada yg ngeluuh,"['tdk', 'ganti', 'kuning', 'ga', 'coba', 'gagal', 'liat', 'komentar', 'pd', 'ngeluh', 'barunanti', 'updatenya', 'sdh', 'ga', 'ngeluuh']"
Sangat membantu good.bagi saya memberi 5 bintang itu mudah asalkan bisa membuat saya terasa terbantu saja,5,2016-10-21 7:23:29,Jenius,Playstore,positif,sangat membantu goodbagi saya memberi  bintang itu mudah asalkan bisa membuat saya terasa terbantu saja,"['bantu', 'goodbagi', 'bintang', 'mudah', 'bantu']"
Aplikasi nya super super bagus. Ganyesel udah download 👍,5,2021-05-19 4:00:34,Jenius,Playstore,positif,aplikasi nya super super bagus ganyesel udah download 👍,"['super', 'super', 'bagus', 'ganyesel', 'udah', 'download', '']"
"Nyesel pindah ke yg kuning sering eror masa habis transaksi terus mau transaksi akun tidak bisa di gunakan suruh hub CS males banget ngabisin pulsa, mending uninstal aja lah",2,2022-01-01 5:31:39,Livin,Playstore,negatif,nyesel pindah ke yg kuning sering eror masa habis transaksi terus mau transaksi akun tidak bisa di gunakan suruh hub cs males banget ngabisin pulsa mending uninstal aja lah,"['nyesel', 'pindah', 'kuning', 'eror', 'habis', 'transaksi', 'transaksi', 'akun', 'suruh', 'hub', 'cs', 'males', 'ngabisin', 'pulsa', 'mending', 'uninstal']"
